Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:31:59,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:01,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:03,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:05,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:07,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:09,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:11,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:13,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:15,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:17,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:19,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:21,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:23,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:25,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:27,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:29,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:31,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:33,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:35,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:37,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:39,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:41,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:32:43,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:45,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:47,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:49,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:51,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:53,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:55,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:57,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:32:59,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:33:01,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:33:03,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:05,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:07,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:33:09,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:11,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:13,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:15,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:17,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:33:19,b8:27:eb:a2:f4:62,Poste 4,55.8
